"No.","Time","Source","Destination","Protocol","Length","Signal strength (dBm)","Noise level (dBm)","Signal/noise ratio (dB)","Info"
"3","0.000000000","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","1406","71dBm","","","QoS Data, SN=1465, FN=0, Flags=.p....F."
"4","0.000000000","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","1406","71dBm","","","QoS Data, SN=1466, FN=0, Flags=.p....F."
"5","0.000174200","172.20.10.2","91.189.91.38","TCP","104","","","","53204  >  80 [ACK] Seq=1 Ack=1 Win=64860 Len=0"
"6","0.013792700","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","1406","71dBm","","","QoS Data, SN=1467, FN=0, Flags=.p....F."
"7","0.019758600","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","1406","71dBm","","","QoS Data, SN=1468, FN=0, Flags=.p....F."
"8","0.019844300","172.20.10.2","91.189.91.38","TCP","104","","","","53204  >  80 [ACK] Seq=1 Ack=2601 Win=64860 Len=0"
"9","0.041489900","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","1406","71dBm","","","QoS Data, SN=1469, FN=0, Flags=.p....F."
"10","0.041489900","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","1406","71dBm","","","QoS Data, SN=1470, FN=0, Flags=.p....F."
"11","0.041621400","172.20.10.2","91.189.91.38","TCP","104","","","","53204  >  80 [ACK] Seq=1 Ack=5201 Win=64860 Len=0"
"12","0.103411000","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","1406","71dBm","","","QoS Data, SN=1471, FN=0, Flags=.p....F."
"13","0.103411000","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","1406","71dBm","","","QoS Data, SN=1472, FN=0, Flags=.p..R.F."
"14","0.103411000","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","1406","71dBm","","","QoS Data, SN=1473, FN=0, Flags=.p....F."
"15","0.103411000","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","1406","71dBm","","","QoS Data, SN=1474, FN=0, Flags=.p..R.F."
"16","0.103411000","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","1406","71dBm","","","QoS Data, SN=1475, FN=0, Flags=.p..R.F."
"17","0.103678900","172.20.10.2","91.189.91.38","TCP","104","","","","53204  >  80 [ACK] Seq=1 Ack=11701 Win=64860 Len=0"
"18","0.103801700","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","1406","70dBm","","","QoS Data, SN=1476, FN=0, Flags=.p....F."
"19","0.103950800","172.20.10.2","91.189.91.38","TCP","104","","","","53204  >  80 [ACK] Seq=1 Ack=13001 Win=63560 Len=0"
"20","0.108650200","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","1406","71dBm","","","QoS Data, SN=1477, FN=0, Flags=.p....F."
"21","0.115004100","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","1406","71dBm","","","QoS Data, SN=1478, FN=0, Flags=.p....F."
"22","0.115276900","172.20.10.2","91.189.91.38","TCP","104","","","","53204  >  80 [ACK] Seq=1 Ack=15601 Win=64860 Len=0"
"23","0.120800200","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","1406","71dBm","","","QoS Data, SN=1479, FN=0, Flags=.p....F."
"24","0.120800200","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","1406","71dBm","","","QoS Data, SN=1480, FN=0, Flags=.p....F."
"25","0.120993400","172.20.10.2","91.189.91.38","TCP","104","","","","53204  >  80 [ACK] Seq=1 Ack=18201 Win=64860 Len=0"
"26","0.131878100","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","1406","71dBm","","","QoS Data, SN=1481, FN=0, Flags=.p....F."
"27","0.137803900","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","1406","71dBm","","","QoS Data, SN=1482, FN=0, Flags=.p....F."
"28","0.137884100","172.20.10.2","91.189.91.38","TCP","104","","","","53204  >  80 [ACK] Seq=1 Ack=20801 Win=64860 Len=0"
"29","0.162393900","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","1406","71dBm","","","QoS Data, SN=1483, FN=0, Flags=.p....F."
"30","0.162393900","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","1406","71dBm","","","QoS Data, SN=1484, FN=0, Flags=.p....F."
"31","0.162490000","172.20.10.2","91.189.91.38","TCP","104","","","","53204  >  80 [ACK] Seq=1 Ack=23401 Win=64860 Len=0"
"32","0.162614500","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","1406","71dBm","","","QoS Data, SN=1485, FN=0, Flags=.p....F."
"33","0.162614500","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","1406","71dBm","","","QoS Data, SN=1486, FN=0, Flags=.p....F."
"34","0.162678300","172.20.10.2","91.189.91.38","TCP","104","","","","53204  >  80 [ACK] Seq=1 Ack=26001 Win=64860 Len=0"
"35","0.166600500","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","1406","71dBm","","","QoS Data, SN=1487, FN=0, Flags=.p....F."
"36","0.166600500","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","1406","71dBm","","","QoS Data, SN=1488, FN=0, Flags=.p....F."
"37","0.166706000","172.20.10.2","91.189.91.38","TCP","104","","","","53204  >  80 [ACK] Seq=1 Ack=28601 Win=64860 Len=0"
"38","0.183405000","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","1406","71dBm","","","QoS Data, SN=1489, FN=0, Flags=.p....F."
"39","0.183405000","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","1406","71dBm","","","QoS Data, SN=1490, FN=0, Flags=.p....F."
"40","0.183405000","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","1406","71dBm","","","QoS Data, SN=1491, FN=0, Flags=.p....F."
"41","0.183504100","172.20.10.2","91.189.91.38","TCP","104","","","","53204  >  80 [ACK] Seq=1 Ack=32501 Win=64860 Len=0"
"42","0.189228800","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","1406","71dBm","","","QoS Data, SN=1492, FN=0, Flags=.p....F."
"43","0.189228800","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","1406","71dBm","","","QoS Data, SN=1493, FN=0, Flags=.p....F."
"44","0.189328000","172.20.10.2","91.189.91.38","TCP","104","","","","53204  >  80 [ACK] Seq=1 Ack=35101 Win=64860 Len=0"
"45","0.189421000","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","1406","71dBm","","","QoS Data, SN=1494, FN=0, Flags=.p....F."
"46","0.189421000","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","1406","71dBm","","","QoS Data, SN=1495, FN=0, Flags=.p....F."
"47","0.189490100","172.20.10.2","91.189.91.38","TCP","104","","","","53204  >  80 [ACK] Seq=1 Ack=37701 Win=64860 Len=0"
"48","0.195178800","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","1406","71dBm","","","QoS Data, SN=1496, FN=0, Flags=.p....F."
"49","0.195178800","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","1406","71dBm","","","QoS Data, SN=1497, FN=0, Flags=.p....F."
"50","0.195286000","172.20.10.2","91.189.91.38","TCP","104","","","","53204  >  80 [ACK] Seq=1 Ack=40301 Win=64860 Len=0"
"51","0.195467100","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","1406","71dBm","","","QoS Data, SN=1498, FN=0, Flags=.p....F."
"52","0.195567800","172.20.10.2","91.189.91.38","TCP","104","","","","53204  >  80 [ACK] Seq=1 Ack=41601 Win=63560 Len=0"
"53","0.214493500","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","1406","70dBm","","","QoS Data, SN=1499, FN=0, Flags=.p....F."
"54","0.214493500","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","1406","70dBm","","","QoS Data, SN=1500, FN=0, Flags=.p....F."
"55","0.214653800","172.20.10.2","91.189.91.38","TCP","104","","","","53204  >  80 [ACK] Seq=1 Ack=44201 Win=64860 Len=0"
"56","0.241480200","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","1406","71dBm","","","QoS Data, SN=1501, FN=0, Flags=.p....F."
"57","0.241480200","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","1406","71dBm","","","QoS Data, SN=1502, FN=0, Flags=.p....F."
"58","0.241681600","172.20.10.2","91.189.91.38","TCP","104","","","","53204  >  80 [ACK] Seq=1 Ack=46801 Win=64860 Len=0"
"59","0.241797900","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","1406","71dBm","","","QoS Data, SN=1503, FN=0, Flags=.p....F."
"60","0.241797900","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","1406","71dBm","","","QoS Data, SN=1504, FN=0, Flags=.p....F."
"61","0.241996600","172.20.10.2","91.189.91.38","TCP","104","","","","53204  >  80 [ACK] Seq=1 Ack=49401 Win=64860 Len=0"
"62","0.284465400","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","1406","71dBm","","","QoS Data, SN=1505, FN=0, Flags=.p....F."
