"No.","Time","Source","Destination","Protocol","Length","Signal strength (dBm)","Noise level (dBm)","Signal/noise ratio (dB)","Info"
"13","0.832397400","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","118","39dBm","","","QoS Data, SN=3363, FN=0, Flags=.p....F."
"15","2.569151100","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","199","40dBm","","","QoS Data, SN=3364, FN=0, Flags=.p....F."
"18","2.978634300","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","377","38dBm","","","QoS Data, SN=3365, FN=0, Flags=.p....F."
"22","3.538990000","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","106","40dBm","","","QoS Data, SN=3366, FN=0, Flags=.p....F."
"23","3.538990000","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","106","40dBm","","","QoS Data, SN=3367, FN=0, Flags=.p....F."
"24","3.538990000","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","106","40dBm","","","QoS Data, SN=3368, FN=0, Flags=.p....F."
"25","3.541667800","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","145","39dBm","","","QoS Data, SN=3369, FN=0, Flags=.p....F."
"28","3.690520900","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","350","38dBm","","","QoS Data, SN=3370, FN=0, Flags=.p....F."
"29","3.690520900","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","516","38dBm","","","QoS Data, SN=3371, FN=0, Flags=.p....F."
"31","3.693277500","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","195","38dBm","","","QoS Data, SN=3372, FN=0, Flags=.p....F."
"32","3.693277500","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","145","38dBm","","","QoS Data, SN=3373, FN=0, Flags=.p....F."
"35","3.731763400","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","106","39dBm","","","QoS Data, SN=3374, FN=0, Flags=.p....F."
"36","5.027133100","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","160","40dBm","","","QoS Data, SN=3375, FN=0, Flags=.p....F."
"40","6.514385900","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","106","42dBm","","","QoS Data, SN=3376, FN=0, Flags=.p....F."
"41","6.523975200","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","106","42dBm","","","QoS Data, SN=3377, FN=0, Flags=.p....F."
"43","6.680694100","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","329","39dBm","","","QoS Data, SN=3378, FN=0, Flags=.p....F."
"44","6.681730000","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","521","39dBm","","","QoS Data, SN=3379, FN=0, Flags=.p....F."
"46","6.682051000","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","336","40dBm","","","QoS Data, SN=3380, FN=0, Flags=.p....F."
"47","6.682354000","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","145","39dBm","","","QoS Data, SN=3381, FN=0, Flags=.p....F."
"50","6.717311400","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","106","38dBm","","","QoS Data, SN=3382, FN=0, Flags=.p....F."
"53","7.088649500","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","118","39dBm","","","QoS Data, SN=3383, FN=0, Flags=.p....F."
"54","7.690634000","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","199","39dBm","","","QoS Data, SN=3384, FN=0, Flags=.p..R.F."
