"No.","Time","Source","Destination","Protocol","Length","Signal strength (dBm)","Noise level (dBm)","Signal/noise ratio (dB)","Info"
"4","0.418009200","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","403","42dBm","","","QoS Data, SN=1097, FN=0, Flags=.p....F."
"6","1.418331300","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","106","41dBm","","","QoS Data, SN=1098, FN=0, Flags=.p....F."
"7","1.646643000","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","138","40dBm","","","QoS Data, SN=1099, FN=0, Flags=.p....F."
"10","3.006089600","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","118","40dBm","","","QoS Data, SN=1100, FN=0, Flags=.p....F."
"13","3.127463700","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","118","40dBm","","","QoS Data, SN=1101, FN=0, Flags=.p....F."
"14","3.127463700","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","118","40dBm","","","QoS Data, SN=1102, FN=0, Flags=.p....F."
"16","6.152450200","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","157","43dBm","","","QoS Data, SN=1103, FN=0, Flags=.p....F."
"19","10.658672000","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","141","41dBm","","","QoS Data, SN=1104, FN=0, Flags=.p....F."
"21","14.749924300","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","118","42dBm","","","QoS Data, SN=1105, FN=0, Flags=.p....F."
"24","15.037426500","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","118","42dBm","","","QoS Data, SN=1106, FN=0, Flags=.p....F."
"26","15.168511600","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","118","42dBm","","","QoS Data, SN=1107, FN=0, Flags=.p....F."
"28","15.417648500","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","377","42dBm","","","QoS Data, SN=1108, FN=0, Flags=.p....F."
"29","15.676492300","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","118","42dBm","","","QoS Data, SN=1109, FN=0, Flags=.p....F."
"32","18.127688200","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","118","42dBm","","","QoS Data, SN=1110, FN=0, Flags=.p....F."
"33","18.133820600","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","118","42dBm","","","QoS Data, SN=1111, FN=0, Flags=.p....F."
"36","18.458881600","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","106","41dBm","","","QoS Data, SN=1112, FN=0, Flags=.p....F."
"37","18.466725500","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","106","41dBm","","","QoS Data, SN=1113, FN=0, Flags=.p....F."
"38","18.466725500","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","145","41dBm","","","QoS Data, SN=1114, FN=0, Flags=.p....F."
"40","18.485279200","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","118","42dBm","","","QoS Data, SN=1115, FN=0, Flags=.p....F."
"42","18.550029900","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","174","41dBm","","","QoS Data, SN=1116, FN=0, Flags=.p....F."
"43","18.550029900","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","180","41dBm","","","QoS Data, SN=1117, FN=0, Flags=.p....F."
"44","18.550029900","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","137","41dBm","","","QoS Data, SN=1118, FN=0, Flags=.p....F."
"45","18.550029900","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","145","41dBm","","","QoS Data, SN=1119, FN=0, Flags=.p....F."
"50","18.581634300","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","178","41dBm","","","QoS Data, SN=1120, FN=0, Flags=.p....F."
"52","18.586140700","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","106","41dBm","","","QoS Data, SN=1121, FN=0, Flags=.p....F."
"53","18.605668300","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","118","41dBm","","","QoS Data, SN=1122, FN=0, Flags=.p....F."
"56","18.637757000","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","106","41dBm","","","QoS Data, SN=1123, FN=0, Flags=.p....F."
"57","18.647113000","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","318","41dBm","","","QoS Data, SN=1124, FN=0, Flags=.p....F."
"62","18.668499800","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","686","41dBm","","","QoS Data, SN=1125, FN=0, Flags=.p....F."
"64","18.677365800","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","137","41dBm","","","QoS Data, SN=1126, FN=0, Flags=.p....F."
