distance(m),1,2,3,4,5,6,7,8,9,10
log distance,0,0.301029996,0.477121255,0.602059991,0.698970004,0.77815125,0.84509804,0.84509804,0.954242509,1
average RSS(dBm),48.78881988,52,43.02222222,37.54237288,39.20588235,36.43820225,32.17449664,32.74647887,31.76056338,28.6
standard deviation(dBm),1.261992165,1.171558372,1.593369532,1.412069963,1.961703822,3.309610854,2.5328425,2.334329576,1.908363463,2.176483092
,inner 1,inner 2,inner 3,inner 4,inner 5,inner 6,inner 7,inner 8,inner 9,inner 10
,Signal strength (dBm),Signal strength (dBm),Signal strength (dBm),Signal strength (dBm),Signal strength (dBm),Signal strength (dBm),Signal strength (dBm),Signal strength (dBm),Signal strength (dBm),Signal strength (dBm)
,45,52,41,37,39,29,30,27,30,24
,49,51,43,34,40,36,29,28,34,24
,49,51,43,34,38,36,29,34,34,23
,49,51,46,40,40,32,36,33,34,25
,49,51,45,40,40,35,35,33,34,30
,52,52,45,40,40,43,35,31,31,29
,47,54,43,39,39,43,39,34,32,31
,49,54,41,39,38,43,34,33,31,31
,48,54,43,42,38,44,33,34,32,31
,49,52,42,38,38,41,33,33,33,29
,49,52,43,39,38,37,27,32,31,29
,49,52,42,39,39,40,28,32,32,29
,49,50,45,38,40,41,32,35,32,29
,49,52,41,33,42,41,32,35,32,32
,47,51,42,34,42,40,31,32,35,30
,48,51,41,34,39,40,31,32,35,32
,48,50,41,37,39,40,31,32,35,32
,49,52,41,37,40,40,32,32,31,29
,48,53,41,35,39,40,32,32,32,29
,49,52,45,38,38,40,32,34,32,29
,49,51,45,36,39,40,32,29,31,30
,49,50,44,35,39,40,32,36,31,30
,49,51,43,40,37,42,32,35,30,30
,48,51,42,37,37,45,32,34,30,30
,51,51,42,37,37,45,32,31,30,30
,48,52,42,37,37,45,31,31,31,29
,48,52,43,38,37,45,33,31,31,27
,48,52,42,37,37,34,33,32,36,24
,48,52,42,36,37,34,34,33,31,24
,48,53,42,36,39,35,34,33,31,24
,48,52,42,36,40,35,31,34,31,27
,48,52,42,37,39,34,30,34,31,27
,48,52,42,37,39,35,30,30,33,27
,48,52,42,37,39,35,31,30,31,27
,48,53,42,37,39,35,31,33,30,27
,48,52,43,37,39,35,30,33,32,30
,48,52,43,37,40,35,34,32,30,28
,48,52,43,37,36,35,34,33,31,28
,48,53,43,37,37,35,34,31,34,25
,48,55,43,37,39,35,34,31,31,28
,48,55,43,38,41,35,31,29,35,27
,48,52,43,38,39,35,31,33,32,27
,48,53,43,41,40,35,34,31,36,27
,48,53,43,39,39,35,34,30,32,26
,48,54,43,41,40,35,34,30,32,31
,48,53,43,39,39,35,34,29,35,27
,48,50,43,39,39,35,34,33,32,29
,48,51,42,39,39,35,33,29,35,29
,48,51,42,39,41,35,33,29,34,28
,48,51,42,39,41,35,30,29,35,29
,48,52,41,39,41,35,29,30,31,28
,48,52,45,39,40,35,28,36,35,34
,48,,42,39,44,35,28,36,32,31
,47,,41,38,44,35,28,36,31,28
,47,,41,39,41,35,28,36,30,26
,48,,41,39,41,35,28,34,30,29
,48,,41,38,39,35,28,36,31,32
,49,,41,39,39,34,28,35,32,29
,50,,41,38,39,34,28,34,31,29
,50,,42,39,38,34,28,36,30,28
,50,,41,39,38,34,28,35,30,29
,50,,41,42,38,38,28,36,30,27
,50,,42,39,38,35,28,36,30,29
,50,,42,39,39,35,29,36,31,29
,50,,42,39,39,35,29,37,30,32
,50,,42,39,38,35,28,36,30,28
,50,,42,38,38,34,28,33,29,29
,50,,44,39,41,35,30,33,29,29
,50,,44,39,40,35,31,32,27,29
,50,,44,38,37,35,30,34,29,29
,50,,44,38,42,35,30,32,31,32
,50,,48,39,41,35,35,,,30
,50,,48,39,40,34,36,,,29
,50,,45,39,41,35,36,,,29
,50,,44,39,41,37,33,,,28
,50,,44,39,41,35,34,,,28
,48,,44,39,41,34,31,,,33
,48,,44,39,41,35,31,,,30
,48,,44,41,41,35,31,,,30
,48,,44,38,41,34,32,,,30
,48,,45,39,41,34,33,,,30
,47,,45,38,41,36,33,,,27
,47,,45,39,40,35,35,,,24
,47,,45,39,40,34,33,,,26
,50,,45,39,40,35,32,,,30
,50,,45,39,40,32,33,,,30
,50,,45,39,41,36,32,,,30
,50,,45,39,41,36,32,,,29
,50,,45,39,41,33,32,,,28
,51,,45,39,41,,32,,,28
,50,,,39,40,,31,,,
,51,,,38,41,,35,,,
,50,,,37,41,,35,,,
,50,,,36,41,,35,,,
,51,,,35,37,,35,,,
,51,,,37,39,,35,,,
,51,,,37,35,,35,,,
,51,,,38,34,,35,,,
,51,,,38,34,,35,,,
,51,,,36,34,,35,,,
,51,,,39,34,,39,,,
,48,,,41,34,,36,,,
,50,,,41,,,36,,,
,50,,,41,,,36,,,
,51,,,41,,,36,,,
,49,,,39,,,36,,,
,47,,,38,,,36,,,
,48,,,40,,,34,,,
,46,,,38,,,35,,,
,46,,,37,,,33,,,
,46,,,37,,,33,,,
,48,,,37,,,33,,,
,48,,,37,,,31,,,
,48,,,38,,,32,,,
,48,,,37,,,33,,,
,48,,,37,,,34,,,
,47,,,37,,,35,,,
,48,,,37,,,34,,,
,49,,,38,,,34,,,
,49,,,38,,,35,,,
,49,,,37,,,34,,,
,49,,,38,,,34,,,
,49,,,36,,,34,,,
,49,,,36,,,34,,,
,50,,,37,,,34,,,
,48,,,36,,,33,,,
,48,,,36,,,33,,,
,47,,,37,,,33,,,
,52,,,37,,,32,,,
,49,,,37,,,33,,,
,49,,,37,,,34,,,
,49,,,37,,,29,,,
,49,,,37,,,30,,,
,49,,,37,,,32,,,
,49,,,37,,,32,,,
,49,,,37,,,32,,,
,49,,,37,,,32,,,
,50,,,37,,,32,,,
,49,,,37,,,31,,,
,49,,,37,,,28,,,
,49,,,37,,,28,,,
,49,,,37,,,28,,,
,49,,,37,,,28,,,
,49,,,37,,,28,,,
,50,,,37,,,30,,,
,49,,,37,,,32,,,
,49,,,37,,,32,,,
,49,,,37,,,33,,,
,49,,,37,,,33,,,
,50,,,37,,,,,,
,51,,,37,,,,,,
,49,,,37,,,,,,
,48,,,37,,,,,,
