"No.","Time","Source","Destination","Protocol","Length","Signal strength (dBm)","Noise level (dBm)","Signal/noise ratio (dB)","Info"
"3","0.000000000","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","199","27dBm","","","QoS Data, SN=2363, FN=0, Flags=.p..R.F."
"6","0.409012600","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","394","28dBm","","","QoS Data, SN=2364, FN=0, Flags=.p....F."
"9","2.457077000","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","106","34dBm","","","QoS Data, SN=2365, FN=0, Flags=.p..R.F."
"10","2.457929000","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","152","33dBm","","","QoS Data, SN=2366, FN=0, Flags=.p....F."
"11","2.458623500","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","233","33dBm","","","QoS Data, SN=2367, FN=0, Flags=.p..R.F."
"14","4.914901500","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","199","31dBm","","","QoS Data, SN=2368, FN=0, Flags=.p..R.F."
"17","5.734815300","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","403","34dBm","","","QoS Data, SN=2369, FN=0, Flags=.p..R.F."
"19","9.829646300","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","199","33dBm","","","QoS Data, SN=2370, FN=0, Flags=.p....F."
"22","10.649259700","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","403","34dBm","","","QoS Data, SN=2371, FN=0, Flags=.p..R.F."
"23","12.287989300","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","114","33dBm","","","QoS Data, SN=2372, FN=0, Flags=.p..R.F."
"25","14.745113300","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","199","32dBm","","","QoS Data, SN=2373, FN=0, Flags=.p....F."
"30","14.912058100","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","106","32dBm","","","QoS Data, SN=2374, FN=0, Flags=.p....F."
"31","14.922728300","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","106","35dBm","","","QoS Data, SN=2375, FN=0, Flags=.p....F."
"32","14.922728300","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","145","35dBm","","","QoS Data, SN=2376, FN=0, Flags=.p....F."
"34","15.003311300","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","175","32dBm","","","QoS Data, SN=2377, FN=0, Flags=.p....F."
"35","15.003311300","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","180","32dBm","","","QoS Data, SN=2378, FN=0, Flags=.p....F."
"36","15.003311300","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","137","32dBm","","","QoS Data, SN=2379, FN=0, Flags=.p....F."
"37","15.003311300","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","145","32dBm","","","QoS Data, SN=2380, FN=0, Flags=.p....F."
"40","15.032765600","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","106","32dBm","","","QoS Data, SN=2381, FN=0, Flags=.p....F."
"42","19.865824900","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","199","34dBm","","","QoS Data, SN=2382, FN=0, Flags=.p..R.F."
"46","20.480245300","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","118","29dBm","","","QoS Data, SN=2383, FN=0, Flags=.p..R.F."
"48","24.985504900","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","199","36dBm","","","QoS Data, SN=2384, FN=0, Flags=.p..R.F."
"50","25.019858000","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","160","35dBm","","","QoS Data, SN=2385, FN=0, Flags=.p..R.F."
"53","25.395218300","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","403","34dBm","","","QoS Data, SN=2386, FN=0, Flags=.p..R.F."
"57","26.520864800","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","106","31dBm","","","QoS Data, SN=2387, FN=0, Flags=.p....F."
"58","26.521901000","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","152","31dBm","","","QoS Data, SN=2388, FN=0, Flags=.p....F."
"59","26.521901000","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","232","31dBm","","","QoS Data, SN=2389, FN=0, Flags=.p....F."
"63","29.798276200","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","199","32dBm","","","QoS Data, SN=2390, FN=0, Flags=.p..R.F."
"66","29.832697200","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","118","33dBm","","","QoS Data, SN=2391, FN=0, Flags=.p....F."
"68","30.412118500","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","411","33dBm","","","QoS Data, SN=2392, FN=0, Flags=.p....F."
"71","33.313860800","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","118","34dBm","","","QoS Data, SN=2393, FN=0, Flags=.p....F."
"73","34.917691400","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","199","34dBm","","","QoS Data, SN=2394, FN=0, Flags=.p....F."
"77","35.532105400","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","403","30dBm","","","QoS Data, SN=2395, FN=0, Flags=.p....F."
"80","40.039147500","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","199","30dBm","","","QoS Data, SN=2396, FN=0, Flags=.p..R.F."
"83","40.447373300","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","409","33dBm","","","QoS Data, SN=2397, FN=0, Flags=.p....F."
"85","41.676121600","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","114","33dBm","","","QoS Data, SN=2398, FN=0, Flags=.p....F."
"87","42.495548300","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","114","32dBm","","","QoS Data, SN=2399, FN=0, Flags=.p....F."
"88","42.496558600","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","114","33dBm","","","QoS Data, SN=2400, FN=0, Flags=.p....F."
"90","44.953245200","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","199","31dBm","","","QoS Data, SN=2401, FN=0, Flags=.p....F."
"93","45.362499500","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","377","31dBm","","","QoS Data, SN=2402, FN=0, Flags=.p....F."
"95","50.073204600","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","199","29dBm","","","QoS Data, SN=2403, FN=0, Flags=.p....F."
"98","50.688113000","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","403","33dBm","","","QoS Data, SN=2404, FN=0, Flags=.p..R.F."
