"No.","Time","Source","Destination","Protocol","Length","Signal strength (dBm)","Noise level (dBm)","Signal/noise ratio (dB)","Info"
"5","0.689750000","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","118","35dBm","","","QoS Data, SN=2008, FN=0, Flags=.p....F."
"6","0.691026500","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","199","35dBm","","","QoS Data, SN=2009, FN=0, Flags=.p..R.F."
"10","1.713794300","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","118","34dBm","","","QoS Data, SN=2010, FN=0, Flags=.p....F."
"12","5.297693300","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","106","38dBm","","","QoS Data, SN=2011, FN=0, Flags=.p....F."
"13","5.298568400","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","199","38dBm","","","QoS Data, SN=2012, FN=0, Flags=.p....F."
"16","5.809606600","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","171","37dBm","","","QoS Data, SN=2013, FN=0, Flags=.p....F."
"17","9.087195700","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","213","39dBm","","","QoS Data, SN=2014, FN=0, Flags=.p....F."
"20","10.315128700","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","199","37dBm","","","QoS Data, SN=2015, FN=0, Flags=.p....F."
"23","10.930607200","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","162","37dBm","","","QoS Data, SN=2016, FN=0, Flags=.p..R.F."
"24","10.989438200","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","106","37dBm","","","QoS Data, SN=2017, FN=0, Flags=.p....F."
"25","12.261443100","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","205","37dBm","","","QoS Data, SN=2018, FN=0, Flags=.p....F."
"28","13.633388800","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","118","36dBm","","","QoS Data, SN=2019, FN=0, Flags=.p....F."
"31","15.433475800","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","199","36dBm","","","QoS Data, SN=2020, FN=0, Flags=.p..R.F."
"34","15.742831300","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","118","36dBm","","","QoS Data, SN=2021, FN=0, Flags=.p..R.F."
"35","16.049419800","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","162","36dBm","","","QoS Data, SN=2022, FN=0, Flags=.p....F."
"36","16.766916500","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","158","36dBm","","","QoS Data, SN=2023, FN=0, Flags=.p....F."
"38","16.971388500","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","158","36dBm","","","QoS Data, SN=2024, FN=0, Flags=.p....F."
"41","20.248002900","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","106","35dBm","","","QoS Data, SN=2025, FN=0, Flags=.p....F."
"42","20.249141900","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","106","34dBm","","","QoS Data, SN=2026, FN=0, Flags=.p....F."
"43","20.249361200","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","199","35dBm","","","QoS Data, SN=2027, FN=0, Flags=.p..R.F."
"46","20.862434500","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","162","37dBm","","","QoS Data, SN=2028, FN=0, Flags=.p....F."
"47","20.863572900","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","106","37dBm","","","QoS Data, SN=2029, FN=0, Flags=.p....F."
"50","21.476349900","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","118","36dBm","","","QoS Data, SN=2030, FN=0, Flags=.p....F."
"51","22.501079100","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","106","38dBm","","","QoS Data, SN=2031, FN=0, Flags=.p....F."
"53","25.265843100","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","199","37dBm","","","QoS Data, SN=2032, FN=0, Flags=.p....F."
"56","25.675147400","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","162","35dBm","","","QoS Data, SN=2033, FN=0, Flags=.p....F."
"57","25.710843300","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","106","35dBm","","","QoS Data, SN=2034, FN=0, Flags=.p..R.F."
"58","28.849643100","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","217","37dBm","","","QoS Data, SN=2035, FN=0, Flags=.p....F."
